SMT2-LIB program,size(byte),#var,#constraints,ref,Satisfiability,Time(s)
newton.1.2.i.smt2,5159,1,3,unknown,,
newton.2.2.i.smt2,5159,1,3,unknown,,
newton.3.2.i.smt2,5159,1,3,unknown,,
newton.4.2.i.smt2,5159,1,3,unknown,,
newton.6.2.i.smt2,5159,1,3,unknown,,
newton.7.2.i.smt2,5159,1,3,unknown,,
sin2.c.2.smt2,5245,13,20,sat,,
square_and_power_inverse.smt2,6497,131,0,sat,,
newton.5.3.i.smt2,6676,1,3,unknown,,
newton.8.3.i.smt2,6676,1,3,unknown,,
newton.1.3.i.smt2,6769,1,3,unknown,,
newton.2.3.i.smt2,6769,1,3,unknown,,
newton.3.3.i.smt2,6769,1,3,unknown,,
newton.4.3.i.smt2,6769,1,3,unknown,,
newton.6.3.i.smt2,6769,1,3,unknown,,
newton.7.3.i.smt2,6769,1,3,unknown,,
div2.c.20.smt2,7821,22,41,sat,,
mult1.c.20.smt2,7889,23,41,sat,,
div3.c.20.smt2,7898,23,41,sat,,
div.c.20.smt2,7918,23,41,sat,,
mult2.c.20.smt2,7978,24,41,sat,,
qurt.c.2.smt2,8337,12,24,unsat,,
test_v3_r8_vr5_c1_s8257.smt2,8364,3,14,unsat,,
test_v3_r8_vr5_c1_s10746.smt2,8366,3,14,unsat,,
test_v3_r8_vr10_c1_s18214.smt2,8453,3,14,unsat,,
test_v3_r8_vr10_c1_s5590.smt2,8453,3,14,sat,,
test_v3_r8_vr1_c1_s733.smt2,8453,3,14,unsat,,
test_v3_r8_vr1_c1_s20372.smt2,8455,3,14,unsat,,
test_v3_r8_vr1_c1_s23752.smt2,8455,3,14,unsat,,
test_v3_r8_vr5_c1_s1507.smt2,8457,3,14,unsat,,
test_v3_r8_vr10_c1_s4660.smt2,8459,3,14,unsat,,
test_v5_r5_vr1_c1_s14623.smt2,8631,5,15,sat,,
test_v5_r5_vr10_c1_s7194.smt2,8718,5,15,sat,,
test_v5_r5_vr1_c1_s16138.smt2,8718,5,15,sat,,
test_v5_r5_vr10_c1_s5379.smt2,8720,5,15,sat,,
test_v5_r5_vr10_c1_s5996.smt2,8724,5,15,sat,,
test_v5_r5_vr1_c1_s15604.smt2,8724,5,15,sat,,
test_v5_r5_vr5_c1_s2800.smt2,8724,5,15,sat,,
test_v5_r5_vr5_c1_s9855.smt2,8724,5,15,sat,,
test_v5_r5_vr5_c1_s24018.smt2,8726,5,15,sat,,
sin2.c.5.smt2,9820,22,38,sat,,
